Trial,Parameter,Value,Average Train Loss,Average Validation Loss
25,number epochs,200,5.507583765983582,5.130700242519379
26,learning_rate,0.1,5.731225709915162,5.401705160140991
26,momentum,1,5.731225709915162,5.401705160140991
26,weight_decay,0.1,5.731225709915162,5.401705160140991
26,number epochs,50,5.731225709915162,5.401705160140991
27,learning_rate,1e-05,5.841084804534912,5.450813055038452
27,momentum,0.95,5.841084804534912,5.450813055038452
27,weight_decay,0.0005,5.841084804534912,5.450813055038452
27,number epochs,100,5.841084804534912,5.450813055038452
28,learning_rate,0.01,6.347840938568115,5.982160806655884
28,momentum,0.05,6.347840938568115,5.982160806655884
28,weight_decay,0.1,6.347840938568115,5.982160806655884
28,number epochs,100,6.347840938568115,5.982160806655884
29,learning_rate,0.01,6.168443517684937,5.810412976741791
29,momentum,0.7,6.168443517684937,5.810412976741791
29,weight_decay,0.0005,6.168443517684937,5.810412976741791
29,number epochs,200,6.168443517684937,5.810412976741791
30,learning_rate,0.001,5.589142942428589,5.217722366333008
30,momentum,0.95,5.589142942428589,5.217722366333008
30,weight_decay,0.005,5.589142942428589,5.217722366333008
30,number epochs,250,5.589142942428589,5.217722366333008
31,learning_rate,0.001,5.312425155639648,4.979877462387085
31,momentum,0.3,5.312425155639648,4.979877462387085
31,weight_decay,0.1,5.312425155639648,4.979877462387085
31,number epochs,50,5.312425155639648,4.979877462387085
32,learning_rate,0.01,5.544861679077148,5.351993551254273
32,momentum,0.1,5.544861679077148,5.351993551254273
32,weight_decay,0.0005,5.544861679077148,5.351993551254273
32,number epochs,200,5.544861679077148,5.351993551254273
33,learning_rate,0.1,5.825579891204834,5.440591497421265
33,momentum,0.7,5.825579891204834,5.440591497421265
33,weight_decay,0.005,5.825579891204834,5.440591497421265
33,number epochs,100,5.825579891204834,5.440591497421265
34,learning_rate,1e-05,5.090252759933471,4.807963224411011
34,momentum,0.3,5.090252759933471,4.807963224411011
34,weight_decay,0.01,5.090252759933471,4.807963224411011
34,number epochs,250,5.090252759933471,4.807963224411011
35,learning_rate,0.001,5.658655700683593,5.328817801475525
35,momentum,0.95,5.658655700683593,5.328817801475525
35,weight_decay,0.005,5.658655700683593,5.328817801475525
35,number epochs,100,5.658655700683593,5.328817801475525
36,learning_rate,0.01,5.555044218699138,5.305345322291056
36,momentum,0.95,5.555044218699138,5.305345322291056
36,weight_decay,0.005,5.555044218699138,5.305345322291056
36,number epochs,150,5.555044218699138,5.305345322291056
37,learning_rate,1e-05,5.504819591045379,5.192523405551911
37,momentum,0.5,5.504819591045379,5.192523405551911
37,weight_decay,0.005,5.504819591045379,5.192523405551911
37,number epochs,200,5.504819591045379,5.192523405551911
38,learning_rate,0.01,5.880476579666138,5.509862501621246
38,momentum,0.3,5.880476579666138,5.509862501621246
38,weight_decay,0.0005,5.880476579666138,5.509862501621246
38,number epochs,200,5.880476579666138,5.509862501621246
39,learning_rate,0.0001,5.607766361236572,5.423472709655762
39,momentum,1,5.607766361236572,5.423472709655762
39,weight_decay,0.0005,5.607766361236572,5.423472709655762
39,number epochs,50,5.607766361236572,5.423472709655762
40,learning_rate,1e-05,5.63604838848114,5.3027085065841675
40,momentum,1,5.63604838848114,5.3027085065841675
40,weight_decay,0.005,5.63604838848114,5.3027085065841675
40,number epochs,100,5.63604838848114,5.3027085065841675
41,learning_rate,1e-05,6.199708557128906,5.998345317840577
41,momentum,0.5,6.199708557128906,5.998345317840577
41,weight_decay,0.0005,6.199708557128906,5.998345317840577
41,number epochs,50,6.199708557128906,5.998345317840577
42,learning_rate,0.001,5.712623982429505,5.4040318918228145
42,momentum,0.3,5.712623982429505,5.4040318918228145
42,weight_decay,0.005,5.712623982429505,5.4040318918228145
42,number epochs,100,5.712623982429505,5.4040318918228145
43,learning_rate,1e-05,5.701527738571167,5.3951622638702394
43,momentum,0.3,5.701527738571167,5.3951622638702394
43,weight_decay,0.01,5.701527738571167,5.3951622638702394
43,number epochs,250,5.701527738571167,5.3951622638702394
44,learning_rate,0.0001,5.41316497039795,5.092723028182983
44,momentum,0.05,5.41316497039795,5.092723028182983
44,weight_decay,0.01,5.41316497039795,5.092723028182983
44,number epochs,250,5.41316497039795,5.092723028182983
45,learning_rate,0.001,5.778619630813599,5.419625835418701
45,momentum,0.05,5.778619630813599,5.419625835418701
45,weight_decay,0.1,5.778619630813599,5.419625835418701
45,number epochs,250,5.778619630813599,5.419625835418701
46,learning_rate,1e-05,5.556948299407959,5.220320078531901
46,momentum,0.1,5.556948299407959,5.220320078531901
46,weight_decay,0.1,5.556948299407959,5.220320078531901
46,number epochs,150,5.556948299407959,5.220320078531901
47,learning_rate,0.001,5.241959249973297,4.856979835033417
